Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-01-28T05:59:38Z
984,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-01-28T05:59:29Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-01-28T05:59:38Z
744,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-01-28T05:59:29Z
604,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-01-28T05:59:29Z
1300,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-01-28T05:59:32Z
1328,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-01-28T05:59:32Z
2196,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-01-28T05:59:34Z
724,services.exe,IPv6,TCP,LISTEN,::,49682,::,0,2026-01-28T06:00:23Z
4,System,IPv4,UDP,,192.168.100.11,137,,0,2026-01-28T05:59:32Z
4,System,IPv4,UDP,,192.168.100.11,138,,0,2026-01-28T05:59:32Z
5592,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-01-28T06:00:06Z
5592,svchost.exe,IPv4,UDP,,192.168.100.11,1900,,0,2026-01-28T06:00:06Z
4284,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-01-28T05:59:50Z
4708,thorium.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-28T06:01:56Z
1976,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-28T05:59:33Z
1976,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-01-28T06:59:32Z
2896,svchost.exe,IPv4,UDP,,127.0.0.1,50584,,0,2026-01-28T05:59:36Z
5592,svchost.exe,IPv4,UDP,,192.168.100.11,51152,,0,2026-01-28T06:00:06Z
5592,svchost.exe,IPv4,UDP,,127.0.0.1,51153,,0,2026-01-28T06:00:06Z
1512,thorium.exe,IPv4,UDP,,0.0.0.0,65423,,0,2026-01-28T07:06:35Z
4708,thorium.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-28T06:01:56Z
5592,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-01-28T06:00:06Z
5592,svchost.exe,IPv6,UDP,,fe80::2251:a177:2257:d320,1900,,0,2026-01-28T06:00:06Z
1976,svchost.exe,IPv6,UDP,,::,5353,,0,2026-01-28T05:59:33Z
4708,thorium.exe,IPv6,UDP,,::,5353,,0,2026-01-28T06:01:56Z
