Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,2,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv4,2026-01-28T06:00:06Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5050
}","{
 ""IP"": """",
 ""Port"": 0
}",,4284,IPv4,2026-01-28T05:59:50Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1976,IPv4,2026-01-28T05:59:33Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,4708,IPv4,2026-01-28T06:01:56Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5355
}","{
 ""IP"": """",
 ""Port"": 0
}",,1976,IPv4,2026-01-28T07:29:33Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 50584
}","{
 ""IP"": """",
 ""Port"": 0
}",,2896,IPv4,2026-01-28T05:59:36Z,UDP
0,2,2,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 51152
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv4,2026-01-28T06:00:06Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51153
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv4,2026-01-28T06:00:06Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,4708,IPv4,2026-01-28T06:01:56Z,UDP
0,23,2,"{
 ""IP"": ""::1"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv6,2026-01-28T06:00:06Z,UDP
0,23,2,"{
 ""IP"": ""fe80::2251:a177:2257:d320"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv6,2026-01-28T06:00:06Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,4708,IPv6,2026-01-28T06:01:56Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1976,IPv6,2026-01-28T05:59:33Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5355
}","{
 ""IP"": """",
 ""Port"": 0
}",,1976,IPv6,2026-01-28T07:29:33Z,UDP
0,23,2,"{
 ""IP"": ""fe80::2251:a177:2257:d320"",
 ""Port"": 51150
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv6,2026-01-28T06:00:06Z,UDP
0,23,2,"{
 ""IP"": ""::1"",
 ""Port"": 51151
}","{
 ""IP"": """",
 ""Port"": 0
}",,5592,IPv6,2026-01-28T06:00:06Z,UDP
